Crutcher/Roller,"{""type"":""Point"",""coordinates"":[-122.4799043,37.7213122]}",Art Panel
"Cummings, M. Earl","{""type"":""Point"",""coordinates"":[-122.4754828,37.7411866]}",Carl G. Larsen
"Cummings, M. Earl","{""type"":""Point"",""coordinates"":[-122.4666711,37.7703537]}",Rideout Fountain
"Cummings, M. Earl","{""type"":""Point"",""coordinates"":[-122.473305,37.7715966]}",Doughboy
"Cummings, M. Earl","{""type"":""Point"",""coordinates"":[-122.4666711,37.7703537]}",Pool of Enchantment
"Cummings, M. Earl","{""type"":""Point"",""coordinates"":[-122.4658805,37.7734009]}",Bear and Lion
"Cummings, M. Earl","{""type"":""Point"",""coordinates"":[-122.4835193,37.76904]}",Robert Burns (1759-1796)
"Cummings, M. Earl","{""type"":""Point"",""coordinates"":[-122.4116033,37.7898163]}",Dennis T. Sullivan (1852-1906) Plaque
"Cummings, M. Earl","{""type"":""Point"",""coordinates"":[-122.4666711,37.7703537]}",Sun Dial
"Cummings, M. Earl","{""type"":""Point"",""coordinates"":[-122.4109539,37.8008791]}",Man Drinking Water
"Cummings, M. Earl","{""type"":""Point"",""coordinates"":[-122.4835193,37.76904]}",John McLaren (1846-1943)
"Cuneo, Rinaldo","{""type"":""Point"",""coordinates"":[-122.4058194,37.8023686]}",Bay Area Hills
"Cunningham, Ben F.","{""type"":""Point"",""coordinates"":[-122.4058194,37.8023686]}",Outdoor Life
"Daub, Firmin, Hendrickson Sculpture Group","{""type"":""Point"",""coordinates"":[-122.4184094,37.7793133]}",Harvey Milk Commemorative Bust
"Davis, Michael and Schwartzenberg, Susan","{""type"":""Point"",""coordinates"":[-122.4347522,37.7694087]}","Homage to the Amateur; The American Dream, A Tribute to Harvey Milk; Bio/Obscura"
"Davis, Ron","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Twin Wave
"Davis, Ron","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Wide Wave
"Dean, Mallette (Harold)","{""type"":""Point"",""coordinates"":[-122.4058194,37.8023686]}",Stockbroker and Scientist-Inventor
"Defeo, Jay","{""type"":""Point"",""coordinates"":[-122.467485,37.771673]}",Loop Series 4: Masquerade in Black
"DeForest, Roy","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",Homage to Zane Grey
"Demetrios, Aristedes","{""type"":""Point"",""coordinates"":[-122.464215,37.7798186]}",Red Gothic
"Demetrios, Aristides","{""type"":""Point"",""coordinates"":[-122.451725,37.7277894]}",Sentinels
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",1994: Staff and Residentes Celebrate the Rededication of the Bell Tower
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",1974-1977: Gerald Simon Theater Entertains the Community
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}",On The Air
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",1949-1958: Community Activities at Laguna Honda
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",1999: Proposition A for the Laguna Honda Project Gets 73% Voter Approval
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",1947-1954: University of California . . .
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",1990-2000: Volunteers Contribute to Life at Laguna Honda
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.389979,37.615223]}","Shining Paths,San Francisco Sister Cities"
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.41883,37.780382]}",Jury Assembly Room
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",Woven
"deSoto, Lewis","{""type"":""Point"",""coordinates"":[-122.4556651,37.7478586]}",1929-1941: Patient Care During the Great Depression
